ID_pieza,ID_pedido,Cantidad
Esmaltes de uñas,pedi573227CWLRUV,4
Cremalleras,pedi973346JBHQPW,6
Esmaltes de uñas,pedi911884KXEHJI,5
Frutas,pedi166781KLFKTD,7
Lijadoras,pedi415589ZWBNDB,6
Mesas,pedi336019YZGSIS,8
Productos enlatados,pedi115426ZLRZZX,5
Cemento,pedi008616SEPHOE,7
Cintas métricas,pedi147373OLUSVT,7
Pintura,pedi936933XIDBSD,3
Cinturones,pedi415589ZWBNDB,5
Destornilladores,pedi415589ZWBNDB,3
Snacks,pedi147373OLUSVT,1
Teclados,pedi147373OLUSVT,7
Telas,pedi147373OLUSVT,1
Carnes,pedi147373OLUSVT,10
Taladros,pedi936933XIDBSD,9
Mesas,pedi936933XIDBSD,4
Cintas,pedi936933XIDBSD,9
Verduras,pedi166781KLFKTD,2
Destornilladores,pedi166781KLFKTD,5
Cintas,pedi166781KLFKTD,5
Impresoras,pedi936933XIDBSD,9
Frutas,pedi936933XIDBSD,9
Cables,pedi936933XIDBSD,10
Mesitas de noche,pedi166781KLFKTD,9
Camas,pedi166781KLFKTD,2
Estanterías,pedi166781KLFKTD,9
Herramientas de construcción,pedi336019YZGSIS,2
Sierras,pedi415589ZWBNDB,3
Ratones,pedi415589ZWBNDB,4
Cremalleras,pedi415589ZWBNDB,5
Pan fresco,pedi336019YZGSIS,3
Niveles,pedi336019YZGSIS,7
Pintalabios,pedi166781KLFKTD,5
Pescados,pedi166781KLFKTD,3
Llaves,pedi973346JBHQPW,8
Sofás,pedi147373OLUSVT,4
Cables eléctricos,pedi573227CWLRUV,7
Monitores,pedi008616SEPHOE,3
