ID_pieza,Nombre,Color,Precio,ID_categoría
piezHil337RjMer,Hilos,Rojo,7.34,cateMerc993
piezHil696AzMer,Hilos,Azul,7.34,cateMerc993
piezHil439AmMer,Hilos,Amarillo,7.34,cateMerc993
piezHil883VeMer,Hilos,Verde,7.34,cateMerc993
piezHil260NaMer,Hilos,Naranja,7.34,cateMerc993
piezHil079MoMer,Hilos,Morado,7.34,cateMerc993
piezHil155NgMer,Hilos,Negro,7.34,cateMerc993
piezHil208BlMer,Hilos,Blanco,7.34,cateMerc993
piezHil872RsMer,Hilos,Rosa,7.34,cateMerc993
piezHil210MrMer,Hilos,Marrón,7.34,cateMerc993
piezAgu274RjMer,Agujas,Rojo,5.44,cateMerc993
piezAgu621AzMer,Agujas,Azul,5.44,cateMerc993
piezAgu738AmMer,Agujas,Amarillo,5.44,cateMerc993
piezAgu233VeMer,Agujas,Verde,5.44,cateMerc993
piezAgu595NaMer,Agujas,Naranja,5.44,cateMerc993
piezAgu868MoMer,Agujas,Morado,5.44,cateMerc993
piezAgu704NgMer,Agujas,Negro,5.44,cateMerc993
piezAgu563BlMer,Agujas,Blanco,5.44,cateMerc993
piezAgu288RsMer,Agujas,Rosa,5.44,cateMerc993
piezAgu826MrMer,Agujas,Marrón,5.44,cateMerc993
piezBot844RjMer,Botones,Rojo,5.87,cateMerc993
piezBot927AzMer,Botones,Azul,5.87,cateMerc993
piezBot103AmMer,Botones,Amarillo,5.87,cateMerc993
piezBot518VeMer,Botones,Verde,5.87,cateMerc993
piezBot712NaMer,Botones,Naranja,5.87,cateMerc993
piezBot267MoMer,Botones,Morado,5.87,cateMerc993
piezBot511NgMer,Botones,Negro,5.87,cateMerc993
piezBot653BlMer,Botones,Blanco,5.87,cateMerc993
piezBot958RsMer,Botones,Rosa,5.87,cateMerc993
piezBot166MrMer,Botones,Marrón,5.87,cateMerc993
piezCin780RjMer,Cintas,Rojo,6.09,cateMerc993
piezCin381AzMer,Cintas,Azul,6.09,cateMerc993
piezCin823AmMer,Cintas,Amarillo,6.09,cateMerc993
piezCin924VeMer,Cintas,Verde,6.09,cateMerc993
piezCin317NaMer,Cintas,Naranja,6.09,cateMerc993
piezCin727MoMer,Cintas,Morado,6.09,cateMerc993
piezCin951NgMer,Cintas,Negro,6.09,cateMerc993
piezCin506BlMer,Cintas,Blanco,6.09,cateMerc993
piezCin983RsMer,Cintas,Rosa,6.09,cateMerc993
piezCin765MrMer,Cintas,Marrón,6.09,cateMerc993
piezEnc741RjMer,Encajes,Rojo,2.43,cateMerc993
piezEnc164AzMer,Encajes,Azul,2.43,cateMerc993
piezEnc803AmMer,Encajes,Amarillo,2.43,cateMerc993
piezEnc736VeMer,Encajes,Verde,2.43,cateMerc993
piezEnc295NaMer,Encajes,Naranja,2.43,cateMerc993
piezEnc487MoMer,Encajes,Morado,2.43,cateMerc993
piezEnc404NgMer,Encajes,Negro,2.43,cateMerc993
piezEnc575BlMer,Encajes,Blanco,2.43,cateMerc993
piezEnc042RsMer,Encajes,Rosa,2.43,cateMerc993
piezEnc340MrMer,Encajes,Marrón,2.43,cateMerc993
piezCre929RjMer,Cremalleras,Rojo,7.9,cateMerc993
