ID_pieza,Nombre,Color,Precio,ID_categoría
piezHil424RjMer,Hilos,Rojo,"5,7 €",cateMerc333
piezHil354AzMer,Hilos,Azul,"5,7 €",cateMerc333
piezHil365AmMer,Hilos,Amarillo,"5,7 €",cateMerc333
piezHil639VeMer,Hilos,Verde,"5,7 €",cateMerc333
piezHil886NaMer,Hilos,Naranja,"5,7 €",cateMerc333
piezHil116MoMer,Hilos,Morado,"5,7 €",cateMerc333
piezHil367NgMer,Hilos,Negro,"5,7 €",cateMerc333
piezHil708BlMer,Hilos,Blanco,"5,7 €",cateMerc333
piezHil649RsMer,Hilos,Rosa,"5,7 €",cateMerc333
piezHil322MrMer,Hilos,Marrón,"5,7 €",cateMerc333
piezAgu310RjMer,Agujas,Rojo,"7,07 €",cateMerc333
piezAgu138AzMer,Agujas,Azul,"7,07 €",cateMerc333
piezAgu351AmMer,Agujas,Amarillo,"7,07 €",cateMerc333
piezAgu198VeMer,Agujas,Verde,"7,07 €",cateMerc333
piezAgu568NaMer,Agujas,Naranja,"7,07 €",cateMerc333
piezAgu903MoMer,Agujas,Morado,"7,07 €",cateMerc333
piezAgu346NgMer,Agujas,Negro,"7,07 €",cateMerc333
piezAgu585BlMer,Agujas,Blanco,"7,07 €",cateMerc333
piezAgu552RsMer,Agujas,Rosa,"7,07 €",cateMerc333
piezAgu460MrMer,Agujas,Marrón,"7,07 €",cateMerc333
piezBot343RjMer,Botones,Rojo,"1,95 €",cateMerc333
piezBot248AzMer,Botones,Azul,"1,95 €",cateMerc333
piezBot880AmMer,Botones,Amarillo,"1,95 €",cateMerc333
piezBot413VeMer,Botones,Verde,"1,95 €",cateMerc333
piezBot358NaMer,Botones,Naranja,"1,95 €",cateMerc333
piezBot552MoMer,Botones,Morado,"1,95 €",cateMerc333
piezBot906NgMer,Botones,Negro,"1,95 €",cateMerc333
piezBot174BlMer,Botones,Blanco,"1,95 €",cateMerc333
piezBot230RsMer,Botones,Rosa,"1,95 €",cateMerc333
piezBot700MrMer,Botones,Marrón,"1,95 €",cateMerc333
piezCin052RjMer,Cintas,Rojo,"4,3 €",cateMerc333
piezCin547AzMer,Cintas,Azul,"4,3 €",cateMerc333
piezCin277AmMer,Cintas,Amarillo,"4,3 €",cateMerc333
piezCin364VeMer,Cintas,Verde,"4,3 €",cateMerc333
piezCin707NaMer,Cintas,Naranja,"4,3 €",cateMerc333
piezCin053MoMer,Cintas,Morado,"4,3 €",cateMerc333
piezCin492NgMer,Cintas,Negro,"4,3 €",cateMerc333
piezCin455BlMer,Cintas,Blanco,"4,3 €",cateMerc333
piezCin776RsMer,Cintas,Rosa,"4,3 €",cateMerc333
piezCin141MrMer,Cintas,Marrón,"4,3 €",cateMerc333
piezEnc555RjMer,Encajes,Rojo,"2,19 €",cateMerc333
piezEnc541AzMer,Encajes,Azul,"2,19 €",cateMerc333
piezEnc070AmMer,Encajes,Amarillo,"2,19 €",cateMerc333
piezEnc151VeMer,Encajes,Verde,"2,19 €",cateMerc333
piezEnc824NaMer,Encajes,Naranja,"2,19 €",cateMerc333
piezEnc151MoMer,Encajes,Morado,"2,19 €",cateMerc333
piezEnc984NgMer,Encajes,Negro,"2,19 €",cateMerc333
piezEnc858BlMer,Encajes,Blanco,"2,19 €",cateMerc333
piezEnc774RsMer,Encajes,Rosa,"2,19 €",cateMerc333
piezEnc534MrMer,Encajes,Marrón,"2,19 €",cateMerc333
piezCre630RjMer,Cremalleras,Rojo,"1,43 €",cateMerc333
piezCre806AzMer,Cremalleras,Azul,"1,43 €",cateMerc333
piezCre820AmMer,Cremalleras,Amarillo,"1,43 €",cateMerc333
piezCre076VeMer,Cremalleras,Verde,"1,43 €",cateMerc333
piezCre915NaMer,Cremalleras,Naranja,"1,43 €",cateMerc333
piezCre124MoMer,Cremalleras,Morado,"1,43 €",cateMerc333
piezCre843NgMer,Cremalleras,Negro,"1,43 €",cateMerc333
piezCre778BlMer,Cremalleras,Blanco,"1,43 €",cateMerc333
piezCre608RsMer,Cremalleras,Rosa,"1,43 €",cateMerc333
piezCre318MrMer,Cremalleras,Marrón,"1,43 €",cateMerc333
piezCin531RjMer,Cinturones,Rojo,"6,81 €",cateMerc333
piezCin216AzMer,Cinturones,Azul,"6,81 €",cateMerc333
piezCin950AmMer,Cinturones,Amarillo,"6,81 €",cateMerc333
piezCin321VeMer,Cinturones,Verde,"6,81 €",cateMerc333
piezCin762NaMer,Cinturones,Naranja,"6,81 €",cateMerc333
piezCin360MoMer,Cinturones,Morado,"6,81 €",cateMerc333
piezCin245NgMer,Cinturones,Negro,"6,81 €",cateMerc333
piezCin588BlMer,Cinturones,Blanco,"6,81 €",cateMerc333
piezCin026RsMer,Cinturones,Rosa,"6,81 €",cateMerc333
piezCin796MrMer,Cinturones,Marrón,"6,81 €",cateMerc333
piezTij147RjMer,Tijeras,Rojo,"3,95 €",cateMerc333
piezTij396AzMer,Tijeras,Azul,"3,95 €",cateMerc333
piezTij750AmMer,Tijeras,Amarillo,"3,95 €",cateMerc333
piezTij608VeMer,Tijeras,Verde,"3,95 €",cateMerc333
piezTij728NaMer,Tijeras,Naranja,"3,95 €",cateMerc333
piezTij843MoMer,Tijeras,Morado,"3,95 €",cateMerc333
piezTij858NgMer,Tijeras,Negro,"3,95 €",cateMerc333
piezTij958BlMer,Tijeras,Blanco,"3,95 €",cateMerc333
piezTij654RsMer,Tijeras,Rosa,"3,95 €",cateMerc333
piezTij488MrMer,Tijeras,Marrón,"3,95 €",cateMerc333
piezTel663RjMer,Telas,Rojo,"3,88 €",cateMerc333
piezTel840AzMer,Telas,Azul,"3,88 €",cateMerc333
piezTel878AmMer,Telas,Amarillo,"3,88 €",cateMerc333
piezTel829VeMer,Telas,Verde,"3,88 €",cateMerc333
piezTel904NaMer,Telas,Naranja,"3,88 €",cateMerc333
piezTel605MoMer,Telas,Morado,"3,88 €",cateMerc333
piezTel444NgMer,Telas,Negro,"3,88 €",cateMerc333
piezTel602BlMer,Telas,Blanco,"3,88 €",cateMerc333
piezTel996RsMer,Telas,Rosa,"3,88 €",cateMerc333
piezTel552MrMer,Telas,Marrón,"3,88 €",cateMerc333
piezPeg715RjMer,Pegamento,Rojo,"7,31 €",cateMerc333
piezPeg984AzMer,Pegamento,Azul,"7,31 €",cateMerc333
piezPeg186AmMer,Pegamento,Amarillo,"7,31 €",cateMerc333
piezPeg347VeMer,Pegamento,Verde,"7,31 €",cateMerc333
piezPeg115NaMer,Pegamento,Naranja,"7,31 €",cateMerc333
piezPeg404MoMer,Pegamento,Morado,"7,31 €",cateMerc333
piezPeg441NgMer,Pegamento,Negro,"7,31 €",cateMerc333
piezPeg138BlMer,Pegamento,Blanco,"7,31 €",cateMerc333
piezPeg100RsMer,Pegamento,Rosa,"7,31 €",cateMerc333
piezPeg063MrMer,Pegamento,Marrón,"7,31 €",cateMerc333
piezMar512RjHer,Martillos,Rojo,"23,28 €",cateHerr775
piezMar453AzHer,Martillos,Azul,"23,28 €",cateHerr775
piezMar527AmHer,Martillos,Amarillo,"23,28 €",cateHerr775
piezMar055VeHer,Martillos,Verde,"23,28 €",cateHerr775
piezMar363NaHer,Martillos,Naranja,"23,28 €",cateHerr775
piezMar724MoHer,Martillos,Morado,"23,28 €",cateHerr775
piezMar264NgHer,Martillos,Negro,"23,28 €",cateHerr775
piezMar777BlHer,Martillos,Blanco,"23,28 €",cateHerr775
piezMar718RsHer,Martillos,Rosa,"23,28 €",cateHerr775
piezMar219MrHer,Martillos,Marrón,"23,28 €",cateHerr775
piezDes135RjHer,Destornilladores,Rojo,"6,86 €",cateHerr775
piezDes853AzHer,Destornilladores,Azul,"6,86 €",cateHerr775
piezDes921AmHer,Destornilladores,Amarillo,"6,86 €",cateHerr775
piezDes356VeHer,Destornilladores,Verde,"6,86 €",cateHerr775
