iter	MultiClass
0	1.86744263
1	1.813590168
2	1.761496987
3	1.721579196
4	1.684725385
5	1.654749011
6	1.627302664
7	1.604776058
8	1.584344401
9	1.564655958
10	1.54934323
11	1.535447369
12	1.521769471
13	1.51055784
14	1.499525874
15	1.488950995
16	1.481484509
17	1.468587768
18	1.456610029
19	1.446420718
20	1.436954058
21	1.428792601
22	1.419900828
23	1.412470206
24	1.405267507
25	1.398322019
26	1.392085247
27	1.38611275
28	1.380817104
29	1.373343468
30	1.366819572
31	1.364201501
32	1.359192874
33	1.353918985
34	1.350977776
35	1.345510642
36	1.341574081
37	1.336690476
38	1.330838151
39	1.327046581
40	1.32335311
41	1.319037545
42	1.315411061
43	1.312356438
44	1.308852205
45	1.307328736
46	1.305891667
47	1.30307013
48	1.301483849
49	1.297441169
50	1.297300179
51	1.295044467
52	1.292832192
53	1.292793413
54	1.290160451
55	1.288702107
56	1.287286914
57	1.28538157
58	1.284572102
59	1.281544742
60	1.2794334
61	1.27728464
62	1.274928507
63	1.27284688
64	1.270278464
65	1.268937536
66	1.267586039
67	1.26468324
68	1.263179371
69	1.260536055
70	1.260037583
71	1.259219608
72	1.25813222
73	1.25559269
74	1.254267858
75	1.25201927
76	1.250201195
77	1.247939527
78	1.245946642
79	1.243908562
80	1.24165629
81	1.239885824
82	1.238779566
83	1.237576337
84	1.236030537
85	1.234983667
86	1.232740182
87	1.232614143
88	1.230552563
89	1.229058692
90	1.227346017
91	1.22449724
92	1.222634699
93	1.220237712
94	1.220000621
95	1.218712682
96	1.216672558
97	1.215313675
98	1.213545782
99	1.21198811
