iter	Passed	Remaining
0	420	41635
1	568	27844
2	886	28672
3	1115	26768
4	1431	27192
5	1730	27109
6	2048	27210
7	2361	27155
8	2712	27426
9	3072	27654
10	3389	27421
11	3688	27047
12	3967	26553
13	4221	25931
14	4542	25740
15	4819	25304
16	5118	24992
17	5411	24652
18	5821	24819
19	6173	24693
20	6432	24197
21	6700	23756
22	6957	23291
23	7208	22825
24	7495	22487
25	7816	22247
26	8084	21859
27	8341	21448
28	8625	21117
29	8912	20795
30	9184	20442
31	9292	19746
32	9580	19451
33	9880	19179
34	10187	18919
35	10547	18751
36	10801	18391
37	11038	18009
38	11339	17736
39	11720	17580
40	12022	17300
41	12294	16977
42	12557	16646
43	12816	16311
44	13069	15974
45	13364	15688
46	13650	15392
47	13954	15117
48	14188	14767
49	14430	14430
50	14508	13939
51	14736	13603
52	14999	13301
53	15045	12816
54	15288	12508
55	15506	12183
56	15723	11861
57	15951	11550
58	16168	11235
59	16434	10956
60	16665	10654
61	16871	10340
62	17140	10066
63	17407	9791
64	17633	9495
65	17900	9221
66	18120	8924
67	18363	8641
68	18582	8348
69	18799	8056
70	19038	7776
71	19300	7505
72	19506	7214
73	19734	6933
74	19951	6650
75	20198	6378
76	20434	6103
77	20677	5832
78	20888	5552
79	21106	5276
80	21328	5002
81	21548	4730
82	21784	4461
83	22045	4199
84	22298	3935
85	22529	3667
86	22853	3414
87	22961	3131
88	23194	2866
89	23454	2606
90	23685	2342
91	23897	2078
92	24137	1816
93	24366	1555
94	24622	1295
95	24894	1037
96	25138	777
97	25405	518
98	25668	259
99	25925	0
